"rgb","modlu_id","modlu_name","modlu_default_map_class","modlu_barony","modlu_county","orijinal_id","orijinal_name","orijinal_default_map_class","orijinal_barony","orijinal_county","same_id","same_name","semantic_same_province_suggest","semantic_classification","final_action_suggest","rationale","auto_keep_rgb_source","auto_recolor_source","auto_requires_new_rgb","auto_final_action","auto_decision_confidence","auto_decision_notes","manual_semantic_same_province","manual_final_action","manual_notes"
"127,45,174","1293","EAST INDIAN OCEAN TI","impassable_seas","","","1293","EAST INDIAN OCEAN TI","impassable_seas","","","True","True","True","same_id_same_name_nonbarony_nonland","keep_single_identity","ID ve isim ayni; iki source da landed barony degil ve default.map uzerinde yapisal nonland/su kaniti var.","shared","","False","keep_single_identity","high","Ayni ID ve isimle yapisal nonland/su province; recolor gerekmiyor.","","",""
"134,78,44","8688","sea_bay_of_bengal","impassable_seas","","","8688","sea_bay_of_bengal","sea_zones","","","True","True","True","same_id_same_name_nonbarony_nonland","keep_single_identity","ID ve isim ayni; iki source da landed barony degil ve default.map uzerinde yapisal nonland/su kaniti var.","shared","","False","keep_single_identity","high","Ayni ID ve isimle yapisal nonland/su province; recolor gerekmiyor.","","",""
"135,180,29","9858","Babruysk","none","b_bobruisk","c_minsk","9858","Goryeo_Donggye_Myeongju","none","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,36,34","9668","Crivitz","none","b_wismar","c_schwerin","9668","IMPASSABLE CENTRAL GOBI 3","impassable_mountains","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"168,144,142","829","Candranatha","none","b_candranatha","c_samatata","829","Candranatha","none","b_candranatha","c_samatata","True","True","True","same_barony","keep_single_identity","Iki source da ayni baronyye bagli.","shared","","False","keep_single_identity","high","Iki source ayni baronyye bagli; recolor gerekmiyor.","","",""
"177,24,32","9664","Stablo","none","b_stablo","c_liege","9664","PLACEHOLDER_REGION_KOREA","impassable_mountains","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"43,138,33","1466","Eastern Wasteland 1","impassable_mountains","","","1466","","impassable_mountains","","","True","False","Review","same_noncounty_default_class_review","needs_manual_review","Iki source ayni non-county default.map sinifinda ama landed_titles barony kaniti yok.","","","","needs_manual_review","","","","",""
"51,0,178","9301","Mountains","impassable_mountains","","","9301","Karub","none","b_karub","c_qamdo","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","orijinal","modlu","True","new_rgb_needed","high","Barony province tarafi orijinal; nonbarony/modlu taraf recolor olmali.","","",""
"51,204,33","9866","Bethsan","none","b_bethsan","c_beersheb","9866","Goryeo_Donggye_Uiju","none","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,30,33","9666","Eutin","none","b_eutin","c_lubeck","9666","","impassable_mountains","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,45,163","9671","Kyburg","none","b_kyburg","c_sankt_gallen","9671","","impassable_mountains","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,51,43","9886","Artvini","none","b_artvini","c_klarjeti","9886","Goryeo_Bukgye_Maengju","none","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,60,38","9676","Eberstein","none","b_eberstein","c_baden","9676","Marakele","none","b_muot","c_nakkavaram","True","False","False","different_barony","new_rgb_needed","Iki source farkli baronylere bagli.","modlu","orijinal","True","new_rgb_needed","medium","Iki taraf da farkli barony; daha buyuk piksel alani korundu.","","",""
"51,75,168","9681","Blamont","none","b_blamont","c_nancy","9681","Siantan Island","none","b_siantan","c_riau","True","False","False","different_barony","new_rgb_needed","Iki source farkli baronylere bagli.","modlu","orijinal","True","new_rgb_needed","medium","Iki taraf da farkli barony; daha buyuk piksel alani korundu.","","",""
"8,69,170","8685","sea_bay_of_bengal","sea_zones","","","8685","sea_bay_of_bengal","sea_zones","","","True","True","True","same_id_same_name_nonbarony_nonland","keep_single_identity","ID ve isim ayni; iki source da landed barony degil ve default.map uzerinde yapisal nonland/su kaniti var.","shared","","False","keep_single_identity","high","Ayni ID ve isimle yapisal nonland/su province; recolor gerekmiyor.","","",""
"9,201,160","9865","Caymont","none","b_caymont","c_caesarea","9865","Goryeo_Donggye_Deungju","none","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"9,27,160","9665","Laar","none","b_laar","c_bentheim","9665","IMPASSABLE CENTRAL GOBI 1","impassable_mountains","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"92,75,171","8687","sea_andaman","sea_zones","","","8687","sea_andaman","sea_zones","","","True","True","True","same_id_same_name_nonbarony_nonland","keep_single_identity","ID ve isim ayni; iki source da landed barony degil ve default.map uzerinde yapisal nonland/su kaniti var.","shared","","False","keep_single_identity","high","Ayni ID ve isimle yapisal nonland/su province; recolor gerekmiyor.","","",""
"93,159,211","9567","Naga Hills","impassable_mountains","","","9567","Naga Hills","impassable_mountains","","","True","True","True","same_id_same_name_nonbarony_nonland","keep_single_identity","ID ve isim ayni; iki source da landed barony degil ve default.map uzerinde yapisal nonland/su kaniti var.","shared","","False","keep_single_identity","high","Ayni ID ve isimle yapisal nonland/su province; recolor gerekmiyor.","","",""
