"rgb","semantic_classification","auto_decision_confidence","keep_rgb_source","keep_source_id","keep_source_name","recolor_source","recolor_subset","recolor_source_id","recolor_source_name","modlu_id","modlu_name","orijinal_id","orijinal_name","old_shared_rgb","new_rgb","assignment_basis","assignment_notes"
"51,0,178","barony_vs_nonbarony","high","orijinal","9301","Karub","modlu","modlu_kalan","9301","Mountains","9301","Mountains","9301","Karub","51,0,178","1,5,27","source_semantic_auto_decision","Barony province tarafi orijinal; nonbarony/modlu taraf recolor olmali."
"177,24,32","barony_vs_nonbarony","high","modlu","9664","Stablo","orijinal","orijinal_dogu","9664","PLACEHOLDER_REGION_KOREA","9664","Stablo","9664","PLACEHOLDER_REGION_KOREA","177,24,32","1,5,28","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"9,27,160","barony_vs_nonbarony","high","modlu","9665","Laar","orijinal","orijinal_dogu","9665","IMPASSABLE CENTRAL GOBI 1","9665","Laar","9665","IMPASSABLE CENTRAL GOBI 1","9,27,160","1,5,29","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,30,33","barony_vs_nonbarony","high","modlu","9666","Eutin","orijinal","orijinal_dogu","9666","","9666","Eutin","9666","","51,30,33","1,5,30","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,36,34","barony_vs_nonbarony","high","modlu","9668","Crivitz","orijinal","orijinal_dogu","9668","IMPASSABLE CENTRAL GOBI 3","9668","Crivitz","9668","IMPASSABLE CENTRAL GOBI 3","135,36,34","1,5,31","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,45,163","barony_vs_nonbarony","high","modlu","9671","Kyburg","orijinal","orijinal_dogu","9671","","9671","Kyburg","9671","","51,45,163","1,5,32","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,48,36","barony_vs_nonbarony","high","modlu","9672","Stauffen","orijinal","orijinal_dogu","9672","PLACEHOLDER_REGION_SOUTHEAST_COAST","9672","Stauffen","9672","PLACEHOLDER_REGION_SOUTHEAST_COAST","93,48,36","1,5,33","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"51,60,38","different_barony","medium","modlu","9676","Eberstein","orijinal","orijinal_dogu","9676","Marakele","9676","Eberstein","9676","Marakele","51,60,38","1,5,34","source_semantic_auto_decision","Iki taraf da farkli barony; daha buyuk piksel alani korundu."
"51,75,168","different_barony","medium","modlu","9681","Blamont","orijinal","orijinal_dogu","9681","Siantan Island","9681","Blamont","9681","Siantan Island","51,75,168","1,5,35","source_semantic_auto_decision","Iki taraf da farkli barony; daha buyuk piksel alani korundu."
"51,135,178","barony_vs_nonbarony","high","modlu","9701","Sirmione","orijinal","orijinal_dogu","9803","Lingnan_Leizhou_Zhanjiang","9701","Sirmione","9803","Lingnan_Leizhou_Zhanjiang","51,135,178","1,5,36","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"93,183,186","barony_vs_nonbarony","high","modlu","9717","Martellago","orijinal","orijinal_dogu","9757","Lingnan_Lianzhou_Hepu","9717","Martellago","9757","Lingnan_Lianzhou_Hepu","93,183,186","1,5,37","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
"135,186,59","barony_vs_nonbarony","high","modlu","9718","Concordia","orijinal","orijinal_dogu","9815","Lingnan_Qinzhou_Lingshan","9718","Concordia","9815","Lingnan_Qinzhou_Lingshan","135,186,59","1,5,38","source_semantic_auto_decision","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali."
