"policy_name","row_type","assignment_type","final_new_id","current_id","keeps_current_id","id_change_reason","placeholder_reason","effective_rgb","effective_name","candidate_type","source_origin","preferred_source_subset","modlu_source_id","modlu_source_rgb","modlu_source_name","orijinal_source_id","orijinal_source_rgb","orijinal_source_name","primary_status","rgb_resolution_status","source_id_conflict_status","final_id_status","notes"
"full_renumber","candidate","kept_by_position","1","1","True","","","42,3,128","VESTFIRDIR","single_source","modlu","modlu_kalan","1","42,3,128","VESTFIRDIR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","2","2","True","","","84,6,1","REYKJAVIK","single_source","modlu","modlu_kalan","2","84,6,1","REYKJAVIK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","3","3","True","","","126,9,129","STOKKSEYRI","single_source","modlu","modlu_kalan","3","126,9,129","STOKKSEYRI","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","4","4","True","","","168,12,2","REYDARFJALL","single_source","modlu","modlu_kalan","4","168,12,2","REYDARFJALL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","5","5","True","","","0,15,130","HUSAVIK","single_source","modlu","modlu_kalan","5","0,15,130","HUSAVIK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","6","6","True","","","168,45,177","TORSHAVN","single_source","modlu","modlu_kalan","6","168,45,177","TORSHAVN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","7","7","True","","","84,21,131","SCALLOWAY","single_source","modlu","modlu_kalan","7","84,21,131","SCALLOWAY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","8","8","True","","","126,24,4","KIRKWALL","single_source","modlu","modlu_kalan","8","126,24,4","KIRKWALL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","9","9","True","","","168,27,132","DONEGAL","single_source","modlu","modlu_kalan","9","168,27,132","DONEGAL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","10","10","True","","","0,30,5","RAPHOE","single_source","modlu","modlu_kalan","10","0,30,5","RAPHOE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","11","11","True","","","42,33,133","FAHAN","single_source","modlu","modlu_kalan","11","42,33,133","FAHAN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","12","12","True","","","84,36,6","DERRY","single_source","modlu","modlu_kalan","12","84,36,6","DERRY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","13","13","True","","","126,39,134","SLEMISH","single_source","modlu","modlu_kalan","13","126,39,134","SLEMISH","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","14","14","True","","","168,42,7","CARRICKFERGUS","single_source","modlu","modlu_kalan","14","168,42,7","CARRICKFERGUS","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","15","15","True","","","0,45,135","DOWNPATRICK","single_source","modlu","modlu_kalan","15","0,45,135","DOWNPATRICK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","16","16","True","","","42,48,8","BALTIMORE","single_source","modlu","modlu_kalan","16","42,48,8","BALTIMORE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","17","17","True","","","84,51,136","ARMAGH","single_source","modlu","modlu_kalan","17","84,51,136","ARMAGH","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","18","18","True","","","126,54,9","DUNDALK","single_source","modlu","modlu_kalan","18","126,54,9","DUNDALK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","19","19","True","","","168,57,137","ARDEE","single_source","modlu","modlu_kalan","19","168,57,137","ARDEE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","20","20","True","","","0,60,10","GALWAY","single_source","modlu","modlu_kalan","20","0,60,10","GALWAY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","21","21","True","","","42,63,138","CASTLEBAR","single_source","modlu","modlu_kalan","21","42,63,138","CASTLEBAR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","22","22","True","","","84,66,11","SLIGO","single_source","modlu","modlu_kalan","22","84,66,11","SLIGO","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","23","23","True","","","126,69,139","ATHENRY","single_source","modlu","modlu_kalan","23","126,69,139","ATHENRY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","24","24","True","","","168,72,12","DROMAHAIR","single_source","modlu","modlu_kalan","24","168,72,12","DROMAHAIR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","25","25","True","","","0,75,140","BELCOO","single_source","modlu","modlu_kalan","25","0,75,140","BELCOO","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","26","26","True","","","42,78,13","LONGFORD","single_source","modlu","modlu_kalan","26","42,78,13","LONGFORD","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","27","27","True","","","126,84,14","CAVAN","single_source","modlu","modlu_kalan","27","126,84,14","CAVAN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","28","28","True","","","84,81,141","DUBLIN","single_source","modlu","modlu_kalan","28","84,81,141","DUBLIN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","29","29","True","","","168,87,142","WICKLOW","single_source","modlu","modlu_kalan","29","168,87,142","WICKLOW","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","30","30","True","","","0,90,15","KILDARE","single_source","modlu","modlu_kalan","30","0,90,15","KILDARE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","31","31","True","","","42,93,143","TRIM","single_source","modlu","modlu_kalan","31","42,93,143","TRIM","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","32","32","True","","","84,96,16","DROGHEDA","single_source","modlu","modlu_kalan","32","84,96,16","DROGHEDA","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","33","33","True","","","126,99,144","BIRR","single_source","modlu","modlu_kalan","33","126,99,144","BIRR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","34","34","True","","","168,102,17","ATHLONE","single_source","modlu","modlu_kalan","34","168,102,17","ATHLONE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","35","35","True","","","0,105,145","ARDNAMURCHON","single_source","modlu","modlu_kalan","35","0,105,145","ARDNAMURCHON","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","36","36","True","","","42,108,18","UISNEACH","single_source","modlu","modlu_kalan","36","42,108,18","UISNEACH","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","37","37","True","","","84,111,146","WEXFORD","single_source","modlu","modlu_kalan","37","84,111,146","WEXFORD","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","38","38","True","","","126,114,19","ENNISCORTHY","single_source","modlu","modlu_kalan","38","126,114,19","ENNISCORTHY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","39","39","True","","","168,117,147","FERNS","single_source","modlu","modlu_kalan","39","168,117,147","FERNS","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","40","40","True","","","0,120,20","CARLOW","single_source","modlu","modlu_kalan","40","0,120,20","CARLOW","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","41","41","True","","","42,123,148","KILKENNY","single_source","modlu","modlu_kalan","41","42,123,148","KILKENNY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","42","42","True","","","84,126,21","ATHY","single_source","modlu","modlu_kalan","42","84,126,21","ATHY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","43","43","True","","","126,129,149","GOWRAN","single_source","modlu","modlu_kalan","43","126,129,149","GOWRAN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","44","44","True","","","168,132,22","CARRICK","single_source","modlu","modlu_kalan","44","168,132,22","CARRICK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","45","45","True","","","0,135,150","LIMERICK","single_source","modlu","modlu_kalan","45","0,135,150","LIMERICK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","46","46","True","","","42,138,23","ENNIS","single_source","modlu","modlu_kalan","46","42,138,23","ENNIS","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","47","47","True","","","84,141,151","NENAGH","single_source","modlu","modlu_kalan","47","84,141,151","NENAGH","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","48","48","True","","","126,144,24","ROSCREA","single_source","modlu","modlu_kalan","48","126,144,24","ROSCREA","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","49","49","True","","","168,147,152","WATERFORD","single_source","modlu","modlu_kalan","49","168,147,152","WATERFORD","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","50","50","True","","","0,150,25","EMLY","single_source","modlu","modlu_kalan","50","0,150,25","EMLY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","51","51","True","","","42,153,153","CLONMEL","single_source","modlu","modlu_kalan","51","42,153,153","CLONMEL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","52","52","True","","","84,156,26","TRALEE","single_source","modlu","modlu_kalan","52","84,156,26","TRALEE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","53","53","True","","","126,159,154","CORK","single_source","modlu","modlu_kalan","53","126,159,154","CORK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","54","54","True","","","168,162,27","KINSALE","single_source","modlu","modlu_kalan","54","168,162,27","KINSALE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","55","55","True","","","0,165,155","LINDHOLM","single_source","modlu","modlu_kalan","55","0,165,155","LINDHOLM","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","56","56","True","","","42,168,28","VIBORG","single_source","modlu","modlu_kalan","56","42,168,28","VIBORG","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","57","57","True","","","84,171,156","AARHUS","single_source","modlu","modlu_kalan","57","84,171,156","AARHUS","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","58","58","True","","","126,174,29","JELLING","single_source","modlu","modlu_kalan","58","126,174,29","JELLING","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","59","59","True","","","168,177,157","VORBASSE","single_source","modlu","modlu_kalan","59","168,177,157","VORBASSE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","60","60","True","","","0,180,30","RIBE","single_source","modlu","modlu_kalan","60","0,180,30","RIBE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","61","61","True","","","42,183,158","AABENRAA","single_source","modlu","modlu_kalan","61","42,183,158","AABENRAA","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","62","62","True","","","84,186,31","HEDEBY","single_source","modlu","modlu_kalan","62","84,186,31","HEDEBY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","63","63","True","","","126,189,159","ROSKILDE","single_source","modlu","modlu_kalan","63","126,189,159","ROSKILDE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","64","64","True","","","168,192,32","NAESTVED","single_source","modlu","modlu_kalan","64","168,192,32","NAESTVED","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","65","65","True","","","0,195,160","ODENSE","single_source","modlu","modlu_kalan","65","0,195,160","ODENSE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","66","66","True","","","42,198,33","SVENDBORG","single_source","modlu","modlu_kalan","66","42,198,33","SVENDBORG","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","67","67","True","","","84,201,161","NYKOBING","single_source","modlu","modlu_kalan","67","84,201,161","NYKOBING","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","68","68","True","","","126,204,34","NAKSKOV","single_source","modlu","modlu_kalan","68","126,204,34","NAKSKOV","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","69","69","True","","","168,207,162","SLAGELSE","single_source","modlu","modlu_kalan","69","168,207,162","SLAGELSE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","70","70","True","","","0,210,35","LUND","single_source","modlu","modlu_kalan","70","0,210,35","LUND","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","71","71","True","","","42,0,163","TRELLEBORG","single_source","modlu","modlu_kalan","71","42,0,163","TRELLEBORG","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","72","72","True","","","84,3,36","TOMMERUP","single_source","modlu","modlu_kalan","72","84,3,36","TOMMERUP","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","73","73","True","","","126,6,164","HELSINGBORG","single_source","modlu","modlu_kalan","73","126,6,164","HELSINGBORG","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","74","74","True","","","168,9,37","HALMSTAD","single_source","modlu","modlu_kalan","74","168,9,37","HALMSTAD","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","75","75","True","","","0,12,165","ONSALA","single_source","modlu","modlu_kalan","75","0,12,165","ONSALA","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","76","76","True","","","42,15,38","LAHOLM","single_source","modlu","modlu_kalan","76","42,15,38","LAHOLM","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","77","77","True","","","84,18,166","RONNE","single_source","modlu","modlu_kalan","77","84,18,166","RONNE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","78","78","True","","","126,21,39","BREGNE","single_source","modlu","modlu_kalan","78","126,21,39","BREGNE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","79","79","True","","","168,24,167","RONNEBY","single_source","modlu","modlu_kalan","79","168,24,167","RONNEBY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","80","80","True","","","0,27,40","AVASKAR","single_source","modlu","modlu_kalan","80","0,27,40","AVASKAR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","81","81","True","","","42,30,168","AALBORG","single_source","modlu","modlu_kalan","81","42,30,168","AALBORG","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","82","82","True","","","84,33,41","RINGKOBING","single_source","modlu","modlu_kalan","82","84,33,41","RINGKOBING","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","83","83","True","","","126,36,169","VARDE","single_source","modlu","modlu_kalan","83","126,36,169","VARDE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","84","84","True","","","168,39,42","HUSUMBRO","single_source","modlu","modlu_kalan","84","168,39,42","HUSUMBRO","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","85","85","True","","","0,42,170","HAFN","single_source","modlu","modlu_kalan","85","0,42,170","HAFN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","86","86","True","","","42,45,43","GOINGE","single_source","modlu","modlu_kalan","86","42,45,43","GOINGE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","87","87","True","","","84,48,171","LISTER","single_source","modlu","modlu_kalan","87","84,48,171","LISTER","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","88","88","True","","","126,51,44","ARENSBURG","single_source","modlu","modlu_kalan","88","126,51,44","ARENSBURG","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","89","89","True","","","168,54,172","SONEBURG","single_source","modlu","modlu_kalan","89","168,54,172","SONEBURG","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","90","90","True","","","0,57,45","MUHU","single_source","modlu","modlu_kalan","90","0,57,45","MUHU","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","91","91","True","","","42,60,173","DAGO","single_source","modlu","modlu_kalan","91","42,60,173","DAGO","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"full_renumber","candidate","kept_by_position","92","92","True","","","84,63,46","HAPSAL","single_source","modlu","modlu_kalan","92","84,63,46","HAPSAL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
