county_id,audit_status,expected_source,current_block_source,current_file,current_start_line,current_end_line,current_parent_id,current_root_title,current_title_path,province_ids,province_names,province_sources,vanilla_east_count,mod_kalan_count,both_masks_count,unknown_count,vanilla_exact,vanilla_best_match,vanilla_similarity,mod_exact,mod_best_match,mod_similarity
c_golag,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,82765,82786,d_dzayul,h_india,h_india > e_himalaya > k_lhomon > d_dzayul > c_golag,9176 9177 9178,Golag | Cawarong | Goyu,vanilla_east | vanilla_east | vanilla_east,3,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:71245,0.967914,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:77619,1.000000
c_zogang,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,90740,90755,d_boyul,e_tibet,e_tibet > k_kham > d_boyul > c_zogang,9282 9283,Zogang | Kagong,vanilla_east | vanilla_east,2,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:68709,0.943662,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:85646,1.000000
c_gyaitang,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,91081,91102,d_batang,e_tibet,e_tibet > k_kham > d_batang > c_gyaitang,9318 9322 9319,Gyaitang | Takchongrong | Derong,vanilla_east | vanilla_east | vanilla_east,3,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:69018,0.136585,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:85988,1.000000
c_lenggu,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,91126,91141,d_litang,e_tibet,e_tibet > k_kham > d_litang > c_lenggu,9324 9320,Lenggu | Dabba_Tibet,vanilla_east | vanilla_east,2,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:69058,0.819767,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:86033,1.000000
c_sungqu,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,91895,91921,d_gyalrong,e_tibet,e_tibet > k_gyalrong > d_gyalrong > c_sungqu,9456 9457,Sungqu | Choqu,vanilla_east | vanilla_east,2,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:69790,0.940610,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:86802,1.000000
c_zoige,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,91922,91947,d_gyalrong,e_tibet,e_tibet > k_gyalrong > d_gyalrong > c_zoige,9453 9454,Zoige | Yunglro,vanilla_east | vanilla_east,2,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:69817,0.618056,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:86829,1.000000
c_quqen,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,91948,91996,d_gyalrong,e_tibet,e_tibet > k_gyalrong > d_gyalrong > c_quqen,9464 9467 9466 9465,Quqen | Kharsa | Zainlha | Trashingling,vanilla_east | vanilla_east | vanilla_east | vanilla_east,4,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:69843,0.952381,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:86855,1.000000
c_lhagang,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,92040,92065,d_chakla,e_tibet,e_tibet > k_gyalrong > d_chakla > c_lhagang,9331 9328,Lhagang | Gyezil,vanilla_east | vanilla_east,2,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:69925,0.608392,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:86956,1.000000
c_tewo,mismatch:expected_vanilla_current_mod,vanilla,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,92433,92458,d_gainlho,e_tibet,e_tibet > k_gyalrong > d_gainlho > c_tewo,9444 9445,Tewo | Zhugqu,vanilla_east | vanilla_east,2,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:70299,0.928702,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:87349,1.000000
c_xiningzhou,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96615,96638,d_longyou,h_china,h_china > e_yongliang > k_hexi > d_longyou > c_xiningzhou,9418 9417 9416 9415,Shanzhou | Chuankou | Ledu | Gonlung,mod_kalan | mod_kalan | mod_kalan | mod_kalan,0,4,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2639,1.000000,,,0.000000
c_liaoquan,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96757,96775,d_gansu,h_china,h_china > e_yongliang > k_hexi > d_gansu > c_liaoquan,9500 9501 9503,Ganjun | Linze | Pingchuan,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2769,1.000000,,,0.000000
c_jiankang,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96776,96789,d_gansu,h_china,h_china > e_yongliang > k_hexi > d_gansu > c_jiankang,9502 9499,Gaotai | Sunan,mod_kalan | mod_kalan,0,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2788,1.000000,,,0.000000
c_zhenwu_1,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96790,96803,d_gansu,h_china,h_china > e_yongliang > k_hexi > d_gansu > c_zhenwu_1,9496 9495,Jinta | Xiba,mod_kalan | mod_kalan,0,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2802,1.000000,,,0.000000
c_jiuquan,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96804,96822,d_gansu,h_china,h_china > e_yongliang > k_hexi > d_gansu > c_jiuquan,9494 9493 9498,Suzhou | Jiayuguan | Qingshui,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2816,1.000000,,,0.000000
c_xincheng,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96892,96905,d_guasha,h_china,h_china > e_yongliang > k_hexi > d_guasha > c_xincheng,9486 9485,Hedong | Changma,mod_kalan | mod_kalan,0,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2893,1.000000,,,0.000000
c_hehe,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96906,96924,d_guasha,h_china,h_china > e_yongliang > k_hexi > d_guasha > c_hehe,9483 9488 9484,Hongliuyuan | Qidun | Xihu,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2907,1.000000,,,0.000000
c_shouchang,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96925,96943,d_guasha,h_china,h_china > e_yongliang > k_hexi > d_guasha > c_shouchang,9474 9473 9475,Yumenguan | Yangguan | Akeqi,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2926,1.000000,,,0.000000
c_ziting,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,96944,96957,d_guasha,h_china,h_china > e_yongliang > k_hexi > d_guasha > c_ziting,9479 9480,Subei | Yanchiwan,mod_kalan | mod_kalan,0,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:2945,1.000000,,,0.000000
c_tongcheng,mismatch:expected_mod_current_vanilla,mod,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,114080,114093,d_juyan,e_xi_xia,e_xi_xia > k_xia > d_juyan > c_tongcheng,9506 9507,Yijinai | Juyan,mod_kalan | mod_kalan,0,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\02_china.txt:3401,1.000000,,,0.000000
